group,window,mean,se,n_rows
placebo_all,in_sample,0.2088866316195968,0.026955637994815197,34558
placebo_all,post_sample,0.31228824249256026,0.06753488413680513,6660
placebo_all,post_pub,0.1295682980654802,0.02814884176464423,28494
placebo_indirect,in_sample,0.23239148211456565,0.026146747508142592,29914
placebo_indirect,post_sample,0.29947524501834033,0.05488230147829349,5820
placebo_indirect,post_pub,0.15212157934400516,0.029779599513307536,25262
placebo_4not,in_sample,0.05748178715221945,0.0673745182878452,4644
placebo_4not,post_sample,0.4010640107067995,0.20354869222433167,840
placebo_4not,post_pub,-0.04671294935348593,0.06834282907634893,3232
predictor,in_sample,0.6700566750802431,0.03590551429660705,74388
predictor,post_sample,0.4244610425873859,0.070998102968717,11580
predictor,post_pub,0.3334284304273598,0.04366116652111223,50370
