spec,term,coef,se,t
primary,const,4.0306116037717725,4.148798752212359,0.9715129232581929
primary,year_z,-0.15143778925785362,0.2408625568651916,-0.628731137080023
primary,is_mean_z,-0.05769713356260464,0.05606148896029475,-1.0291759036844048
primary,log_pp_n,-0.6366370175721339,0.7631946235977367,-0.8341738763449301
R1_winsor,const,1.0178764341551443,0.6855189919538024,1.4848260166419134
R1_winsor,year_z,0.010299872260904158,0.05331441517719296,0.19319113276722719
R1_winsor,is_mean_z,-0.016709477515862433,0.03230152685185635,-0.5172968322053837
R1_winsor,log_pp_n,-0.08424127575300176,0.1273891681169112,-0.6612907282327919
R2_clear,const,6.332436551464492,8.841791855366791,0.7161938049492569
R2_clear,year_z,-0.2914892247970793,0.552561097963775,-0.5275239713241429
R2_clear,is_mean_z,0.005437438731626868,0.04962337752700657,0.10957413627614619
R2_clear,log_pp_n,-1.0683885563152893,1.6379505518163542,-0.6522715567515351
R3_floor20,const,4.138215327525573,4.170595653313145,0.9922360428870994
R3_floor20,year_z,-0.16563379485951507,0.24583840538500132,-0.6737506883845922
R3_floor20,is_mean_z,-0.032582217879691275,0.05639119649673681,-0.5777890859538104
R3_floor20,log_pp_n,-0.6607131652419362,0.7670852011339919,-0.8613295684302024
R4_first60,const,0.5145329301587949,0.06574995547072263,7.82560119585036
R4_first60,year_z,0.17217748067565097,0.07022129928088475,2.451926729338091
R4_first60,is_mean_z,-0.04091734360284402,0.05939259035187785,-0.6889301066079923
